time,open,high,low,close,VWMA,RSI,K,D
1504656000,4366.49,4662.87,4335.26,4619.77,4319.911485414315,56.58522612592333,26.29462513182699,13.478640004024891
1504742400,4619.77,4788.59,4438.19,4691.61,4333.849186801671,58.18829511861674,44.97698433715831,27.696171611537633
1504828800,4691.66,4735.39,4028.93,4282.8,4347.785999579797,47.450898785420655,41.57286652264624,37.614825330543844
1504915200,4282.8,4426.62,4150.06,4258.81,4349.112830506035,46.90392568983139,30.21760701908993,38.92248595963149
1505001600,4258.81,4283,3801,4130.37,4347.734348097049,43.98085118876622,13.553604722018106,28.44802608791809
1505088000,4153.62,4334.43,4098.91,4208.47,4356.117803205962,46.17735104920699,12.059852397076257,18.610354712728096
1505174400,4208.6,4394.59,4040.8,4163.72,4364.826077058009,45.08649403362089,9.92817512680872,11.84721074863436
1505260800,4159.72,4165.38,3760,3944.69,4356.304477827404,40.09404200177548,7.909818218549231,9.965948580811402
1505347200,3944,3993,3165.13,3189.02,4240.063949284957,28.40697210452545,3.3151725069956233,7.051055284117858
1505433600,3188.01,3856,2817,3700,4179.163420680181,40.94284848077143,14.0310269519306,8.418672559158486
1505520000,3674.01,3950,3470.66,3714.95,4145.404137027619,41.266881305284876,28.42473403547717,15.256977831467799
1505606400,3685.23,3748.21,3499.02,3699.99,4126.614528420289,41.024313634242155,42.546942467639724,28.33423448501583
1505692800,3690,4123.2,3690,4035.01,4113.833439184276,48.34670776409878,50.83385803977436,40.60184484763042
1505779200,4060,4089.97,3830.91,3910.04,4090.308318240394,46.049880555729544,56.187324313677586,49.856041607030555
1505865600,3910.04,4046.08,3820,3900,4064.50437601432,45.86137631324213,61.601302146597995,56.20749483334998
1505952000,3889.99,3910,3567,3609.99,4024.009706803293,40.68113886414492,59.80213173528554,59.19691939852038
1506038400,3592.84,3750,3505.55,3595.87,3984.510135737345,40.441621200314316,60.17332788425541,60.525587255379655
1506124800,3595.88,3817.19,3542.91,3780,3954.793457300325,44.99003872007041,68.3591183104452,62.778192643328715
1506211200,3779.54,3789.99,3622.76,3660.02,3926.4490170665777,42.70164348785554,71.73680371578564,66.75641663682875
1506297600,3660.02,3979.87,3653.69,3920.75,3913.9639867953747,48.796721480872286,84.95176754269932,75.01589652297672
1506384000,3928,3976.99,3850.05,3882.35,3883.8649170944454,47.98709177258222,89.23953474553367,81.97603533467289
1506470400,3882.36,4249.94,3872.81,4193,3862.6469644991016,54.55605240332149,98.67641056077377,90.95590428300227
1506556800,4192.11,4300,4101,4174.5,3854.8429699497933,54.11771350211416,97.6412079021078,95.18571773613841
1506643200,4178.98,4263.86,3952.01,4174.69,3856.263337164596,54.12179049630811,97.93922311221722,98.08561385836627
1506729600,4175,4380,4138.1,4378.51,3861.889641468577,58.39289697478122,97.93922311221723,97.83988470884742
1506816000,4378.49,4406.52,4240.04,4378.48,3871.9033725107606,58.39203529343338,98.97282573354015,98.28375731932488
1506902400,4400,4561.63,4360,4380,3876.844112906587,58.42551029562982,99.99839996265693,98.97014960280478
1506988800,4380,4467.33,4180.8,4310,3887.6915932695692,56.18372603879984,95.84322854793788,98.271484748045
1507075200,4314.9,4373,4142,4208.59,3899.0735158815064,53.01036475202059,85.80779763513685,93.88314204857723
1507161600,4208.59,4355,4110,4292.43,3977.3253061783057,55.260236863335365,79.9409290256491,87.19731840290797
1507248000,4318.99,4417,4292,4369,4019.711520123527,57.272369602911866,81.65153489167032,82.46675385081878
1507334400,4369,4479.5,4312.56,4423,4050.833739208166,58.68362291953968,91.68856584181442,84.4270099197113
1507420800,4425,4658,4425,4640,4084.05522119066,63.85071849268287,97.55543445130216,90.29851172826231
1507507200,4640,4889.98,4550,4786.95,4115.581987591086,66.87214553327274,100,96.41466676437221
1507593600,4786.95,4960,4680.59,4783.06,4170.16116533784,66.71318518250699,99.6177490870419,99.0577278461147
1507680000,4783.06,4881.61,4710,4821.43,4212.502548549651,67.53299417028444,99.6177490870419,99.74516605802796
1507766400,4821.43,5439.99,4810.16,5430,4343.571396250387,77.14673039812321,99.6177490870419,99.61774908704193
1507852800,5439.99,5846.17,5379.84,5649.98,4519.70283399027,79.50871225114575,100,99.74516605802796
1507939200,5650,5900,5580.01,5869.99,4625.084923868032,81.56130291816459,100,99.872583029014
1508025600,5855.03,5922.3,5400.01,5709.99,4738.976467865558,75.62823515159786,93.07311989534759,97.6910399651159
1508112000,5710,5788.91,5585.19,5760.02,4851.279496728357,76.21096489370981,86.82657907145823,93.29989965560196
1508198400,5760,5774.98,5508.63,5595,4929.543610047584,70.2449279261325,73.6146664702217,84.5047884790092
1508284800,5595,5596,5037.95,5512.06,5012.70770756489,67.38948963657086,62.58053407947428,74.34059320705144
1508371200,5513,5710,5490.26,5683.9,5099.22873961843,70.10127545965658,53.099710085588164,63.09830354509476
1508457600,5683.31,6110,5600,6010.01,5240.531449265934,74.4444523540767,55.94219920723578,57.20748112409945
1508544000,6013.72,6171,5850.03,6024.97,5320.321045415018,74.62654259278436,60.85120438546958,56.63103789276456
1508630400,6003.27,6060,5720.03,5950.02,5382.564558666701,71.86382477977564,54.80818207172658,57.200528554810695
1508716800,5975,6080,5621.03,5915.93,5445.185864659893,70.58388709697743,40.53381788606145,52.064401447752594
1508803200,5909.47,5925,5450,5477.03,5492.96483689454,56.605414084507885,20.252491869894158,38.53149727589411
1508889600,5506.92,5704.96,5286.98,5689.99,5547.219571852996,60.67491347940081,14.125135669859572,24.97048180860511
1508976000,5670.1,5939.99,5650,5861.77,5600.4183268969755,63.63716807501083,14.827834102792599,16.4018205475155
1509062400,5861.77,5980,5649.24,5768.83,5628.218709253994,60.96155396688918,20.646286962312196,16.533085578321508
1509148800,5768.79,5850.02,5630.03,5719.64,5643.112253714778,59.53482155818744,20.19127193848601,18.555131001196987
1509235200,5709.98,6189.88,5648.01,6169.98,5687.410535253837,67.12143187576436,28.67834833127443,23.171969077357602
1509321600,6133.01,6248.68,6030,6120.5,5723.268554673438,65.66472458009385,39.61672711971986,29.495449129826824
1509408000,6120.52,6498.01,6100,6463,5784.110996286596,70.44599202613739,60.23680183706281,42.84395909601909
1509494400,6463,6774.67,6338.02,6753.98,5850.463255742632,73.78583315155686,74.13577066100856,57.996433205930465
1509580800,6753.98,7300,6685.1,7019.98,5944.9998910973145,76.41026698578185,90.71227234637688,75.02828161481614
1509667200,7010.31,7346.34,6923,7115.04,6020.492146699684,77.28546102681184,98.44495598441317,87.76433299726625
1509753600,7115.02,7480.99,6901,7357.09,6074.852402797633,79.38295054612962,100.00000000000001,96.38574277693009
1509840000,7357.27,7590.25,7279.02,7345.01,6129.63091773487,78.99092029819357,99.42629112005947,99.29041570149094
